lora_rank,learning_rate,num_epochs,lora_dropout,eval_loss_mean,eval_loss_std,perplexity_mean,n_runs
4,5e-05,2,0.0,1.020053219795227,0.014884982768479861,2.773588389949776,5
4,5e-05,2,0.05,1.0206387042999268,0.015254317311974096,2.7752251961384613,5
4,5e-05,2,0.1,1.0203365087509155,0.015627032021229635,2.7743994907667613,5
4,5e-05,3,0.0,0.986505925655365,0.015246988323518916,2.6820972705991615,5
4,5e-05,3,0.05,0.9872244715690612,0.015606179330326006,2.6840371341260565,5
4,5e-05,3,0.1,0.9872194170951843,0.016422707284546697,2.6840517275029065,5
4,5e-05,5,0.0,0.9681867957115173,0.01634937192902864,2.633447935237,5
4,5e-05,5,0.05,0.9675277352333069,0.017228242494167382,2.6317441472740937,5
4,5e-05,5,0.1,0.9685188293457031,0.01583200884435458,2.6343048998405476,5
4,0.0001,2,0.0,0.9781813263893128,0.015893491145478424,2.6598841200771055,5
4,0.0001,2,0.05,0.9781790852546692,0.015301963888327913,2.6598586163100957,5
4,0.0001,2,0.1,0.9785364389419555,0.014940594713558426,2.6607973747605524,5
4,0.0001,3,0.0,0.956816565990448,0.01698994066104686,2.603697083836838,5
4,0.0001,3,0.05,0.9562642455101014,0.01609823195718883,2.6022283884021404,5
4,0.0001,3,0.1,0.9560329556465149,0.01590111226699194,2.6016200609615834,5
4,0.0001,5,0.0,0.9543162107467651,0.015038311196648006,2.597129616080799,5
4,0.0001,5,0.05,0.9531679034233094,0.016022438969188948,2.5941808304457603,5
4,0.0001,5,0.1,0.9533915519714355,0.015975642260465325,2.5947594201057336,5
4,0.0002,2,0.0,0.9551292061805725,0.015547198496694854,2.5992580446574634,5
4,0.0002,2,0.05,0.9560474276542663,0.01638849099944465,2.6016741424804706,5
4,0.0002,2,0.1,0.9564665913581848,0.015582013881788514,2.602737882400244,5
4,0.0002,3,0.0,0.9428247928619384,0.01720537513008138,2.56752773218163,5
4,0.0002,3,0.05,0.9417860507965088,0.01787208596608271,2.564886591235075,5
4,0.0002,3,0.1,0.9423391461372376,0.015537877385751799,2.566225009853974,5
4,0.0002,5,0.0,0.9435181379318237,0.018230394202364456,2.569345167201876,5
4,0.0002,5,0.05,0.9423078656196594,0.01693531661527926,2.566191004471051,5
4,0.0002,5,0.1,0.9437843084335327,0.01841967345167376,2.570036450364607,5
8,5e-05,2,0.0,0.9950179100036621,0.015425088520320053,2.70503050260958,5
8,5e-05,2,0.05,0.9950908899307251,0.015111700766359735,2.7052175888724954,5
8,5e-05,2,0.1,0.9956346392631531,0.014885714708815518,2.7066816765108435,5
