run_name,lora_rank,learning_rate,num_epochs,lora_dropout,seed,train_loss,eval_loss,perplexity,runtime_min
sw_0177_r8_lr5e-05_e5_d10_s456,8,5e-05,5,0.1,456,0.846372252479594,0.9758554100990295,2.653436016430298,21.454553333333333
sw_0094_r4_lr2e-04_e2_d00_s999,4,0.0002,2,0.0,999,1.0343327777270965,0.9760077595710754,2.6538402968016777,8.768835
sw_0108_r4_lr2e-04_e3_d00_s789,4,0.0002,3,0.0,789,0.8810831886349302,0.93867427110672,2.5565898256596737,13.027316666666668
sw_0341_r16_lr1e-04_e3_d10_s123,16,0.0001,3,0.1,123,0.8658621480120695,0.9181561470031738,2.5046678902454893,13.004355
sw_0284_r16_lr5e-05_e2_d10_s999,16,5e-05,2,0.1,999,1.113300876821426,0.996320903301239,2.7082993812120075,8.687695
sw_0245_r8_lr2e-04_e3_d05_s42,8,0.0002,3,0.05,42,0.8295834217479522,0.9246059656143188,2.5208747532982354,13.672945
sw_0397_r16_lr2e-04_e5_d05_s456,16,0.0002,5,0.05,456,0.5290522486130822,0.949828565120697,2.585266416487215,21.717618333333334
sw_0158_r8_lr5e-05_e3_d05_s789,8,5e-05,3,0.05,789,1.0523068037900059,0.9591878056526184,2.6095761294925635,12.925585000000002
sw_0342_r16_lr1e-04_e3_d10_s456,16,0.0001,3,0.1,456,0.8623794788451543,0.9424819946289062,2.566343170110684,12.996678333333334
sw_0383_r16_lr2e-04_e3_d05_s789,16,0.0002,3,0.05,789,0.7598378913287811,0.9303136467933655,2.5353042429725017,13.025568333333332
sw_0084_r4_lr1e-04_e5_d05_s999,4,0.0001,5,0.05,999,0.7691670280089353,0.9756140112876892,2.6527955574360944,22.071101666666667
sw_0124_r4_lr2e-04_e5_d00_s999,4,0.0002,5,0.0,999,0.6495021440128591,0.9645982384681702,2.623733329573159,21.476871666666668
sw_0076_r4_lr1e-04_e5_d00_s123,4,0.0001,5,0.0,123,0.7701254793666901,0.9397200345993042,2.5592648124228257,21.461356666666667
sw_0104_r4_lr2e-04_e2_d10_s999,4,0.0002,2,0.1,999,1.0371109840066675,0.9790353178977966,2.661887128069041,9.035525
sw_0067_r4_lr1e-04_e3_d05_s456,4,0.0001,3,0.05,456,0.9970277365622461,0.966619610786438,2.629042235325981,13.328646666666666
sw_0081_r4_lr1e-04_e5_d05_s123,4,0.0001,5,0.05,123,0.7726637258886654,0.9362539649009705,2.5504095775024878,22.09801666666667
sw_0257_r8_lr2e-04_e5_d00_s456,8,0.0002,5,0.0,456,0.5843931384265104,0.9526152610778809,2.592480815457783,20.858496666666667
sw_0062_r4_lr1e-04_e3_d00_s456,4,0.0001,3,0.0,456,0.995411782022466,0.9663665294647217,2.6283769580303966,13.020669999999999
sw_0345_r16_lr1e-04_e5_d00_s42,16,0.0001,5,0.0,42,0.6200384772397618,0.9221348762512207,2.5146531367607934,21.183993333333333
sw_0362_r16_lr2e-04_e2_d00_s456,16,0.0002,2,0.0,456,0.9254698192372042,0.9441041350364685,2.570509517353109,8.430758333333333
sw_0022_r4_lr5e-05_e3_d05_s456,4,5e-05,3,0.05,456,1.1337255684662204,0.9988765716552734,2.7152297483216676,13.270741666666668
sw_0196_r8_lr1e-04_e3_d00_s123,8,0.0001,3,0.0,123,0.9302883304376653,0.9314902424812317,2.538289026609651,12.530745
sw_0281_r16_lr5e-05_e2_d10_s123,16,5e-05,2,0.1,123,1.1141786039831805,0.9581460356712341,2.6068589669916262,8.685666666666666
sw_0006_r4_lr5e-05_e2_d05_s123,4,5e-05,2,0.05,123,1.2641769679472408,1.0050572156906128,2.732063585258951,8.938178333333333
sw_0250_r8_lr2e-04_e3_d10_s42,8,0.0002,3,0.1,42,0.8300382982069583,0.9233662486076355,2.517751518358596,13.251808333333335
sw_0204_r8_lr1e-04_e3_d05_s999,8,0.0001,3,0.05,999,0.9271154471684692,0.9703801274299622,2.6389474050133708,12.948538333333333
sw_0392_r16_lr2e-04_e5_d00_s456,16,0.0002,5,0.0,456,0.5261074681970525,0.9517671465873718,2.590283027031671,21.046451666666666
sw_0002_r4_lr5e-05_e2_d00_s456,4,5e-05,2,0.0,456,1.2596510922845034,1.035978078842163,2.8178609784297883,8.726368333333333
sw_0052_r4_lr1e-04_e2_d05_s456,4,0.0001,2,0.05,456,1.1294886339157022,0.9871931672096252,2.6836912184642014,9.021488333333334
sw_0351_r16_lr1e-04_e5_d05_s123,16,0.0001,5,0.05,123,0.6214677657673066,0.9179220795631409,2.5040816976512628,21.622955
