run_name,num_epochs,lora_rank,train_loss,best_eval_loss,best_epoch,perplexity,runtime_min
ea_e01_r08,1,8,1.1933946252506684,0.9776101112365723,1.0,2.6580960909500675,4.52882
ea_e02_r08,2,8,0.9840393882384275,0.9369868040084839,2.0,2.5522793024011428,8.870843333333333
ea_e03_r08,3,8,0.8284030717111951,0.9194362163543701,2.0,2.5078760917688654,13.157263333333333
ea_e05_r08,5,8,0.5891515068829378,0.9229437708854675,2.0,2.516688049093989,21.76494166666667
ea_e07_r08,7,8,0.4559120275848598,0.9272252321243286,2.0,2.5274862509728195,30.303695
ea_e10_r08,10,8,0.35096265109465086,0.9256113171577454,2.0,2.5234103930133287,43.197630000000004
ea_e01_r16,1,16,1.156292757248496,0.9603375792503357,1.0,2.612578276791606,4.562211666666667
ea_e02_r16,2,16,0.9291436302470651,0.9249459505081177,2.0,2.521731958343642,8.912656666666667
ea_e03_r16,3,16,0.7620657990535525,0.919640839099884,2.0,2.5083893127667256,13.263758333333334
ea_e05_r16,5,16,0.5278665695598419,0.9257600903511047,2.0,2.5237858367629435,21.90957
ea_e07_r16,7,16,0.40986989052628997,0.9351781010627747,2.0,2.547667159564134,30.496019999999998
ea_e10_r16,10,16,0.32081901682889397,0.9374667406082153,2.0,2.553504528643042,43.48811833333333
ea_e01_r32,1,32,1.122911504245697,0.9437678456306458,1.0,2.5696452275687514,4.556263333333334
ea_e02_r32,2,32,0.8746937430478672,0.9238361120223999,2.0,2.5189347956521257,8.898026666666668
ea_e03_r32,3,32,0.6948973507804667,0.9205691814422607,2.0,2.510719038000906,13.330263333333333
ea_e05_r32,5,32,0.4814078407491592,0.9397704601287842,2.0,2.559393867959891,21.821191666666667
ea_e07_r32,7,32,0.3802989357933004,0.9458560943603516,2.0,2.5750168926853894,30.632035
ea_e10_r32,10,32,0.299712350916735,0.9593251347541809,2.0,2.6099345248463783,43.25751
